count haswon operator
62437 0 G.E.O.-JACKAL
55394 0 G.E.O.-MIRA
52672 0 GIGN-DOC
38186 0 GIGN-MONTAGNE
4094 0 GIGN-RESERVE
57042 0 GIGN-ROOK
92338 0 GIGN-TWITCH
107829 0 GSG9-BANDIT
17245 0 GSG9-BLITZ
28707 0 GSG9-IQ
137058 0 GSG9-JAGER
14837 0 GSG9-RESERVE
48393 0 JTF2-BUCK
66496 0 JTF2-FROST
36758 0 NAVYSEAL-BLACKBEARD
84490 0 NAVYSEAL-VALKYRIE
67154 0 SAS-MUTE
8429 0 SAS-RESERVE
77693 0 SAS-SLEDGE
71349 0 SAS-SMOKE
55960 0 SAS-THATCHER
24312 0 SAT-ECHO
97103 0 SAT-HIBANA
74223 0 SPETSNAZ-FUZE
83889 0 SPETSNAZ-GLAZ
40660 0 SPETSNAZ-KAPKAN
3613 0 SPETSNAZ-RESERVE
7979 0 SPETSNAZ-TACHANKA
129046 0 SWAT-ASH
36657 0 SWAT-CASTLE
72732 0 SWAT-PULSE
4433 0 SWAT-RESERVE
89958 0 SWAT-THERMITE
29773 1 BOPE-CAPITAO
91298 1 BOPE-CAVEIRA
65147 1 G.E.O.-JACKAL
56732 1 G.E.O.-MIRA
52135 1 GIGN-DOC
35962 1 GIGN-MONTAGNE
3320 1 GIGN-RESERVE
64371 1 GIGN-ROOK
99723 1 GIGN-TWITCH
111891 1 GSG9-BANDIT
16373 1 GSG9-BLITZ
29444 1 GSG9-IQ
143755 1 GSG9-JAGER
13221 1 GSG9-RESERVE
48884 1 JTF2-BUCK
75689 1 JTF2-FROST
37895 1 NAVYSEAL-BLACKBEARD
88837 1 NAVYSEAL-VALKYRIE
68366 1 SAS-MUTE
7074 1 SAS-RESERVE
80085 1 SAS-SLEDGE
70596 1 SAS-SMOKE
57953 1 SAS-THATCHER
26516 1 SAT-ECHO
103006 1 SAT-HIBANA
76083 1 SPETSNAZ-FUZE
86818 1 SPETSNAZ-GLAZ
39983 1 SPETSNAZ-KAPKAN
3034 1 SPETSNAZ-RESERVE
7099 1 SPETSNAZ-TACHANKA
136729 1 SWAT-ASH
35868 1 SWAT-CASTLE
72856 1 SWAT-PULSE
3973 1 SWAT-RESERVE
93800 1 SWAT-THERMITE
30826 0 BOPE-CAPITAO
88080 0 BOPE-CAVEIRA
86421 0 G.E.O.-JACKAL
73041 0 G.E.O.-MIRA
53236 0 GIGN-DOC
32238 0 GIGN-MONTAGNE
3928 0 GIGN-RESERVE
59300 0 GIGN-ROOK
94858 0 GIGN-TWITCH
101399 0 GSG9-BANDIT
13252 0 GSG9-BLITZ
31741 0 GSG9-IQ
133378 0 GSG9-JAGER
12876 0 GSG9-RESERVE
47456 0 JTF2-BUCK
59651 0 JTF2-FROST
35808 0 NAVYSEAL-BLACKBEARD
80615 0 NAVYSEAL-VALKYRIE
71699 0 SAS-MUTE
8695 0 SAS-RESERVE
78218 0 SAS-SLEDGE
69975 0 SAS-SMOKE
57321 0 SAS-THATCHER
23207 0 SAT-ECHO
95036 0 SAT-HIBANA
83017 0 SPETSNAZ-FUZE
58302 0 SPETSNAZ-GLAZ
